customer_id,signup_date,acquisition_channel,customer_email,country,city
C00001,2023-03-25,Direct,cust1@example.com,US,Delhi
C00002,2024-03-30,Email,cust2@example.com,UK,Sydney
C00003,2024-06-05,Paid Search,cust3@example.com,IN,London
C00004,2024-09-21,Email,cust4@example.com,US,London
C00005,2024-02-29,Organic Search,cust5@example.com,IN,Sydney
C00006,2023-12-08,Direct,cust6@example.com,UK,Toronto
C00007,2024-09-19,Organic Search,cust7@example.com,IN,Bangalore
C00008,2024-11-29,Direct,cust8@example.com,CA,Sydney
C00009,2024-07-25,Paid Search,cust9@example.com,US,Mumbai
C00010,2024-05-17,Email,cust10@example.com,AU,NYC
C00011,2023-05-11,Paid Search,cust11@example.com,US,Mumbai
C00012,2024-01-06,Influencer,cust12@example.com,IN,London
C00013,2023-04-19,Email,cust13@example.com,IN,Pune
C00014,2023-11-14,Email,cust14@example.com,IN,Toronto
C00015,2024-07-20,Paid Search,cust15@example.com,UK,Delhi
C00016,2023-11-28,Email,cust16@example.com,IN,NYC
C00017,2024-08-04,Social Ads,cust17@example.com,UK,Mumbai
C00018,2023-05-24,Paid Search,cust18@example.com,UK,Bangalore
C00019,2024-08-12,Organic Search,cust19@example.com,IN,London
C00020,2024-07-31,Organic Search,cust20@example.com,US,London
C00021,2023-09-09,Direct,cust21@example.com,UK,Sydney
C00022,2024-05-14,Direct,cust22@example.com,US,Sydney
C00023,2023-12-18,Organic Search,cust23@example.com,IN,London
C00024,2023-02-16,Organic Search,cust24@example.com,IN,Delhi
C00025,2024-03-15,Paid Search,cust25@example.com,UK,NYC
C00026,2023-12-13,Influencer,cust26@example.com,CA,Mumbai
C00027,2023-08-07,Organic Search,cust27@example.com,IN,London
C00028,2024-05-14,Email,cust28@example.com,IN,NYC
C00029,2023-03-19,Direct,cust29@example.com,IN,NYC
C00030,2024-01-13,Email,cust30@example.com,UK,Delhi
C00031,2024-03-24,Influencer,cust31@example.com,IN,NYC
C00032,2024-08-01,Social Ads,cust32@example.com,IN,Sydney
C00033,2023-11-20,Social Ads,cust33@example.com,US,London
C00034,2023-03-12,Paid Search,cust34@example.com,US,Bangalore
C00035,2024-01-31,Influencer,cust35@example.com,UK,Pune
C00036,2024-06-23,Paid Search,cust36@example.com,IN,London
C00037,2024-10-16,Social Ads,cust37@example.com,IN,NYC
C00038,2023-04-26,Organic Search,cust38@example.com,IN,London
C00039,2023-12-30,Email,cust39@example.com,IN,Mumbai
C00040,2023-05-24,Direct,cust40@example.com,IN,Bangalore
C00041,2024-01-12,Social Ads,cust41@example.com,IN,Pune
C00042,2024-10-04,Email,cust42@example.com,CA,London
C00043,2023-05-04,Email,cust43@example.com,CA,Mumbai
C00044,2024-06-30,Paid Search,cust44@example.com,IN,Mumbai
C00045,2023-05-05,Social Ads,cust45@example.com,IN,Bangalore
C00046,2024-01-10,Organic Search,cust46@example.com,IN,London
C00047,2024-06-08,Organic Search,cust47@example.com,IN,NYC
C00048,2024-03-13,Paid Search,cust48@example.com,US,Mumbai
C00049,2024-06-26,Email,cust49@example.com,IN,Pune
C00050,2023-12-14,Direct,cust50@example.com,IN,Sydney
C00051,2024-10-24,Paid Search,cust51@example.com,US,Bangalore
C00052,2024-07-14,Social Ads,cust52@example.com,AU,Toronto
C00053,2023-01-19,Organic Search,cust53@example.com,US,NYC
C00054,2024-02-21,Paid Search,cust54@example.com,AU,Bangalore
C00055,2023-06-16,Organic Search,cust55@example.com,UK,Toronto
C00056,2024-07-18,Social Ads,cust56@example.com,IN,London
C00057,2023-07-25,Direct,,IN,Sydney
C00058,2024-08-16,Organic Search,cust58@example.com,US,Pune
C00059,2024-09-16,Direct,cust59@example.com,IN,Pune
C00060,2023-09-12,Organic Search,cust60@example.com,IN,Toronto
C00061,2024-01-22,Paid Search,cust61@example.com,CA,London
C00062,2024-06-29,Organic Search,cust62@example.com,CA,Sydney
C00063,2024-07-13,Paid Search,cust63@example.com,IN,Toronto
C00064,2024-05-04,Paid Search,cust64@example.com,US,London
C00065,2024-11-20,Email,cust65@example.com,IN,Delhi
C00066,2024-07-29,Email,cust66@example.com,US,Pune
C00067,2024-01-23,Influencer,cust67@example.com,IN,Pune
C00068,2023-04-09,Paid Search,cust68@example.com,UK,Pune
C00069,2024-02-25,Influencer,cust69@example.com,CA,Pune
C00070,2023-10-11,Direct,cust70@example.com,IN,London
